type,number,question,answer
fill,1,铁路安全管理坚持安全第一、预防为主、____的方针。,综合治理
fill,2,铁路监管部门、铁路运输企业等单位应当按照国家有关规定制定____，并组织应急演练。,突发事件应急预案
fill,3,铁路建设工程的安全设施应当与主体工程同时设计、同时施工、同时____。,投入使用
fill,4,建筑施工企业在编制施工组织设计时，对专业性较强的工程项目，应当编制____安全施工组织设计，并采取安全技术措施。,专项
fill,5,铁路信号工程施工质量的验收划分为单位工程、分部工程、分项工程和____。,检验批
fill,6,铁路建设实行工程质量____制度 。工程施工承包企业应对保修范围和保修期限内发生的质量问题，按规定履行保修义务，并对造成的损失承担赔偿责任。,终身负责
fill,7,国务院493号令《生产安全事故报告和调查处理条例》规定，事故等级分为一般事故、较大事故、重大事故、____四类。,特别重大事故
fill,8,铁路营业线故障处理作业应严格执行“____”原则。,三不动、三不离
fill,9,用人单位采购、配备和使用的特种劳动防护用品必须具有____、许可证和安全鉴定书。,合格证
fill,10,火灾使人致命的最大原因是____。,窒息
fill,12,中国通号全面落实 “12415” 的总体思路，聚焦 “轨道交通 + 低空经济” 两条主赛道，其中“4”指的是____。,智能轨交、智能低空、智慧城市、智能作业
fill,13,《中华人民共和国安全生产法》规定，生产经营单位采用新工艺、新技术、新材料、新设备或者使用____，必须了解、掌握其安全技术特性，采取有效的安全防护措施，并对从业人员进行专门的安全生产教育和培训。,新的危险物品
fill,14,安全生产领域的红线是____。,发展决不能以牺牲安全为代价
fill,15,四不伤害指的是不伤害自己、不伤害他人、不被他人伤害、____。,保护他人不受伤害
fill,16,模块化装配式施工是指将施工作业对象进行合理切分、组合，接口简统，形成独立标准模块，进行工厂预装预配和____的建造方式。,现场装配式施工
fill,17,工位制均衡施工是指以标准工位建设为基础，将质量、安全、成本的管理要求和“____”的各项作业要求按工位分解落实，在标准工区进行流水均衡施工的组织方式。,人、机、料、法、环、测
fill,18,信号施工单位应严格执行“五核对”措施。施工前核对____，布线前采用“数线头”和导通测试相结合核对____，配线前核对____，器材安装前通过导通测试核对____，验收前通过模拟试验核对________。（每空1分）,施工图纸组合内部配线组合侧面配线配线联锁关系
fill,19,既有设备改造和过渡工程的配线应采用特定颜色线缆，拆改的配线应有____。,醒目标识
fill,20,《铁路技术管理规程》（普速铁路部分）规定：进站、通过、接近、遮断信号机在正常情况下的显示距离不得小于____m。,1000
fill,21,《铁路技术管理规程》规定：高柱出站、高柱进路信号机在正常情况下的显示距离不得小于____m。,800
fill,22,《铁路技术管理规程》（普速铁路部分）规定：预告、驼峰、驼峰辅助信号机在正常情况下的显示距离不得小于____m。,400
fill,23,《铁路技术管理规程》（普速铁路部分）规定：调车、矮型出站、矮型进路、复示信号机、容许、引导信号以及各种表示器在正常情况下的显示距离不得小于____m。,200
fill,24,《铁路技术管理规程》（高速铁路部分）规定：高柱进站、高柱通过信号机正常情况下的显示距离不得小于____m。,1000
fill,25,《铁路技术管理规程》（高速铁路部分）规定：调车、矮型进站、矮型出站、矮型进路、矮型通过、复示信号机、引导信号以及各种表示器在正常情况下的显示距离不得小于____m。,200
fill,26,联锁图表是利用简单明了的表格形式，表示出____之间的基本联锁内容。,进路、道岔、信号机
fill,27,当进路上的有关道岔____或敌对信号未关闭时，防护该进路上的信号机不能开放。,开通位置不对
fill,28,JWXC-1700继电器，型号中的“W”表示____。,无极
fill,29,为防止轨道电路人工短路或绝缘破损引起的错误解锁采用了____。,三点检查
fill,30,进路的锁闭方式有____和____。,预先锁闭接近锁闭
fill,31,防护道岔不在防护位置时，有关____。,进路不能建立
fill,32,半自动闭塞是人工办理闭塞手续，列车凭信号显示发车后，出站信号机____的闭塞方法。,自动关闭
fill,33,隧道壁设备安装时，钻孔深度不得大于____mm。,200
fill,34,铺有防水层的路基段箱、盒安装时，应采用热镀锌金属支架基础方式，基础埋深不应小于____mm。,500
fill,35,在钢轨上钻孔应使用专用钻孔机具，钻孔两侧应采用专用________倒角工具进行倒角，其深度为0.8mm～1.5mm。钢轨钻孔后应立即安装塞钉。,450
fill,36,铁路信号智能电源屏两路电源转换时间小于____。,0.15秒
fill,37,等电位汇集线宜采用3×30mm规格的紫铜条沿墙连接成条形、环形，环行设置时不得构成____。,闭合回路
fill,38,同排架（柜）及其走线槽与架间走线槽连接应____，不得形成电气闭合回路。,绝缘
fill,39,在电路调试过程中，应严禁使用运用中的____电源。,信号设备
fill,40,列车超速防护系统由车载和地面信号设备构成，必须符合____原则。,故障导向安全
fill,41,进站、出站、进路和通过信号机的灯光熄灭、显示不明或显示不正确时，均视为____信号。,停车
fill,42,化学锚栓安装孔钻好后清理出孔内的尘土和碎末至少需要____次。,3
fill,43,加在电容器两极板上的电压不能超过某一限度，一旦超过这个限度，电介质将被击穿，电容器将被损坏。这个极限电压叫做____。,击穿电压
fill,44,三相电机的每相动作电路中均接容量为5A的断路器，起____作用。,过载保护
fill,45,纯电容元件通过正弦交流电时，其电压与电流的相位关系是 ____,电压滞后电流90°。
fill,46,安装设备（如插继电器）前，应测试配线____现象。, 有无接地
fill,47,既有线改造施工中，接入既有电源前，除确认新设备电源配线符合要求外，还应检查既有电源有无____________现象，做好记录并取得既有设备监管单位的签认。, 混电及接地  
fill,48,道岔的锁闭方式有区段锁闭、进路锁闭、____、引导总锁闭。,单独锁闭
fill,49,联锁设备分为____。, 集中联锁和非集中联锁 
fill,50,闭塞设备分为____、自动站间闭塞和 半自动闭塞 。,  自动闭塞 
fill,51,高速铁路信号控制系统主要由____________、列车运行控制子系统和调度集中子系统组成。, 计算机联锁子系统  
fill,54,装有钢轨绝缘处的钢轨，两钢轨头部应在同一平面，高低相差不大于________。, 2mm
fill,55,钢轨引接线塞钉孔距钢轨连接夹板边缘应为____左右。,100mm
fill,56,在雷雨天不要走近高压电杆、铁塔、避雷针，远离至少____m以外。,20
fill,57,对带有220V及其以上电压的信号设备进行作业时，一般应____或双人作业。, 切断电源 
fill,58,人身和携带物件(如长杆、导线、工具等)与接触网设备带电部分，必须保持____m以上的距离。,  2_
fill,59,停电作业时，应指派专人断电，并在电源开关处悬挂____。,  警示牌  
fill,60,人身和携带物件与接触网回流线必须保持____m以上距离。,1
fill,61,在距接触网不足____m的处所作业时，必须要求供电部门配合。,2
fill,62,在电气化区段高柱信号机上作业时，应保持人身和携带物件与接触网带电部分____m以上距离。,2
fill,65,引向安全线或避难线的道岔纳入集中联锁时，道岔的定位必须为____开通的位置，道岔未处于定位位置且未处于进路锁闭状态时应给出报警信息。,安全线或避难线
fill,66,除仅运行动车组列车线路外的集中联锁车站，当进站信号机外方进站方向列车制动距离范围内为下坡道且加算坡度的绝对值超过____时，应设置进站接车进路的延续进路。,6‰
fill,67,信号非正常关闭后，已锁闭的进路不得____；已锁闭的进路不得因轨道电路瞬间失去分路错误解锁。,自动解锁
fill,68,进站信号机、进路信号机、出站信号机、线路所通过信号机以及调车信号机关闭后，未经办理不得____。,再次自动开放信号
fill,69,CTC区段采用自动闭塞或____。,自动站间闭塞
fill,70,室外信号设备外缘距接触网带电部分的距离不得小于2 m；距接触网带电部分____ m范围内的信号设备的金属结构件必须接地。,5
fill,71,室外信号设备的接地，未设置贯通地线的线路，分设接地电阻值不应大于4Ω，困难时不应大于10Ω；设置贯通地线的线路，接地电阻值不应大于____Ω；接地电阻值不符合规定时应采取降阻措施。,1
fill,72,电气连接处的过渡电阻不应大于____Ω。,0.2
fill,73,水平接地体距建筑物外墙间距不小于1m，埋深不小于0.7m。在寒冷地区，接地体应埋在____以下。,冻土层
fill,74,接近信号机、进站信号机、进路信号机、出站信号机、通过信号机以及调车信号机处的机械绝缘节应与信号机并列设置，无法并列时应符合规定：接近信号机、进站信号机、接车进路信号机、接发车进路信号机、线路所通过信号机以及自动闭塞区间并置的通过信号机处，绝缘节可设置于信号机____至____的范围内；发车进路信号机、出站兼发车进路信号机、出站信号机以及自动闭塞区间单置的通过信号机处，绝缘节可设置于信号机____至____的范围内；调车信号机处的绝缘节可设置于信号机____至____的范围内。（每空1分）,前方1 m后方1 m前方1 m后方6.5 m前方1 m后方1 m
fill,75,面对铁路内屏蔽数字信号电缆端头，绿色四线组在红色四线组的____侧为A端。,顺时针方向
fill,76,当电缆长度小于或等于10000m时，通过设置电缆模拟网络，电缆回路的环阻值应小于等于____Ω。,470
fill,77,普通信号电缆绝缘测试项目有芯线间绝缘测试、芯线对地绝缘测试和________。,芯线电阻测试
fill,78,SPTYWPL23型信号电缆，其中SP含义是____。,数字信号
fill,79,电力牵引区段，室外信号主干电缆和分支电缆的钢带、铝护套及内屏蔽层护套应在箱盒内单端接地，主干电缆分段接地距离不宜大于____。,1km
fill,80,内屏蔽数字电缆、应答器数据传输电缆的允许弯曲半径不应小于电缆外径的____倍。,20
fill,81,电缆配线贯通后设备未连接前的每根芯线对地、线间绝缘电阻率不应小于____。,20MΩ·km
fill,82,长度不大于____的电缆不得接续，长度不大于1km的电缆不得多于____次接续，接续位置距离所接入的箱盒不得小于________m。（每空1分）,300m230 
fill,83,多根光电缆同沟（槽)敷设时，应按____弯曲半径敷设。,最大
fill,84,区间通过信号机的灯丝电流一般应调整到所用信号灯丝继电器工作值的________以上，残流应小于其可靠落下值。,120%
fill,85,区间通过信号机灯端电压一般为________________。,  10.6～10.8V  
fill,86,进站信号机点灯电路采用的混线防护措施有位置法、双断法、____。,  变压器隔离法  
fill,87,高铁出站开放引导信号时，点亮____灯光。,  红色灯光和月白色  
fill,88,在区间闭塞分区的分界点线路左侧应设____，标志牌宜安装在接触网支柱上。, 停车标志牌 
fill,89,预告标志牌应设置在____及防护区间道岔的通过信号机外方900m、1000m、1100m处。, 进站信号机 
fill,90,进站信号机设置于进站最外方对向道岔尖轨尖端外方或顺向道岔警冲标内方沿线路方向不小于________m处；,50
