type,number,question,answer
fill,1,施工现场临时用电设备在5台及以上或设备总容量在____及以上者，应编制用电组织设计。,50kW
fill,2,临时用电组织设计及变更时，必须履行____程序。,编制、审核、批准
fill,3,质量安全问题处理要实现两个归零：____、____。,技术归零管理归零
fill,4,在数字通信中的同步大致可分成两种：________和____。,帧同步网同步
fill,5,所谓三网融合指____的融合。,电信网、互联网、广播电视网
fill,6,高处作业分为四级，其中一级____，二级____，三级____，特级____。,2-5米5-15米15-30米30米以上
fill,7,架空杆路洞深是根据电杆的类别，现场的土质，以及项目所在地的____所决定的。,负荷区
fill,8,要将交流220V电源转换成稳定的-48V直流电源输出，一般需经过____、____、____和____四个步骤。,变压整流滤波稳压
fill,9,多路复用技术主要包括____、____、____多路复用技术。,频分时分码分
fill,10,在用光功率计进行光缆衰耗测试时，需要将____与____断开。,通信设备光路
fill,11,传输信号功率与电缆阻抗异常导致的反射信号功率的差值称为____。,回波损耗
fill,12,手持式电动工具的外壳、手柄、插头、开关、负荷线等必须完好无损，使用前必须做好绝缘检查和空载检查，在____后方可使用。,绝缘合格、空载运转正常
fill,13,传输信号分为模____两种。,拟信号和数字信号
fill,14,SDH网是由一些SDH网元组成，在光纤上进行同步信息____、____、____和____连接的网络。,传输复用分插交叉
fill,15,"参照《城市轨道交通通信工程质量验收规范》（GB 50382-2016）文件要求，单体蓄电池和由若干个单体组成一体的组合蓄电池，其各电池间的开路电压最高与最低差值不应大于____(2V)、____(6V),____(12V)。",20mV50mV100mV
fill,16,SDH网同步结构采用____方式，即所有网络单元时钟最终都能跟踪到全网的基准时钟。,主从同步
fill,17,塔式起重机、外用电梯、滑升模板的金属操作平台及需要设置避雷装置的物料提升机，除应连接PE线外，还必须做____。,重复接地
fill,18,隧道潮湿地段或雨天使用移动电气设备和手持电动工具时，应使用____，应安装漏电保护装置，作业人员要使用____的劳动保护用具。,安全电压防触电
fill,19,安全生产许可证的有效期为____年。安全生产许可证有效期满需要延期的，企业应当于期满前3个月向原安全生产许可证颁发管理机关办理延期手续。,3
fill,20,铁塔位于建筑物屋顶时，铁塔四脚应利用建筑物柱内的钢筋作雷电引下线，或与楼（房）顶避雷带就近不____焊接连通。,少于2处
fill,21,职业纪律是最明确的职业规范，它以____方式规定职业活动中对从业人员的基本要求是。,行政命令
fill,22,频分多路复用是多个话音通道在基带频率上按频率顺序排列合并成一个____的过程。,宽带信号
fill,23,在应急响应过程中，为有效控制事故，____，最大限度地降低事故造成的损失或危害而采取的救援措施或行动。,防止事故扩大或恶化
fill,24,1000 BASE-T标准使用的是5类非屏蔽双绞线，双绞线长度可以达到____________,100m。
fill,25,无人机操作人员应具备相应资质，经过____。,培训合格
fill,26,模拟用户话机和数字交换机的接口电路是____。,用户电路
fill,27,防雷保护接地装置与电缆间距不宜________m。,＜10 
fill,28,交换技术包括：线路交换技术、分组交换技术、帧中继交换技术、____。,信元交换技术
fill,29,在数据通信中，为了保证数据被正确接收，必须采用一些同一收发动作的措施，这就是所谓的____。,同步技术
fill,30,检查电源及环境监控系统与____、____系统等联动功能，符合设计要求。,机房照明综合视频监控
fill,31,防火墙是指____。,一种维护计算机安全的系统
fill,32,生产经营单位应当进行安全培训的从业人员包括____。,主要负责人、安全生产管理人员、特种作业人员和其他从业人员
